Date,Open,High,Low,Close,Volume
5/16/2023,500,500.29,494.3,496.15,"1,230,357"
5/15/2023,504.01,505,498.86,502.04,"1,135,682"
5/12/2023,503.17,506.03,501.2,504.07,"1,472,794"
5/11/2023,499.51,503,497.55,501.89,"1,046,730"
5/10/2023,501.95,504.97,495.1,499.66,"1,257,622"
5/9/2023,496.96,501.74,496.39,500.79,"1,571,815"
5/8/2023,497.37,500.25,495.7,499.06,"1,015,210"
5/5/2023,493.2,499.4,492.98,499.06,"1,709,239"
5/4/2023,488.94,490.91,485.93,490.34,"1,487,048"
5/3/2023,496.6,498.78,489.66,490.06,"1,426,432"
5/2/2023,495,495.68,489.81,494.81,"1,940,805"
5/1/2023,499.15,500.05,488.8,493.59,"2,203,182"
4/28/2023,501.56,504.83,500.64,503.22,"1,170,249"
4/27/2023,494.83,502.26,494.83,501.27,"1,361,583"
4/26/2023,500.42,502.87,493.39,494.66,"1,441,855"
4/25/2023,511.13,513.13,502.26,503.17,"1,789,883"
4/24/2023,506.1,511.69,505.81,511.42,"1,374,117"
4/21/2023,509.37,510.64,505.46,506.35,"1,508,643"
4/20/2023,495.75,510.66,495.51,505.58,"2,936,493"
4/19/2023,497.13,497.99,493.83,496.03,"1,098,758"
4/18/2023,496.1,497.63,494.12,496.9,"1,339,585"
4/17/2023,492.77,497.89,491.15,493.94,"1,411,760"
4/14/2023,496.19,500.37,490.16,491.3,"1,675,297"
4/13/2023,493.49,498.44,490.31,497.89,"1,600,513"
4/12/2023,500,500.05,488.54,489.35,"2,063,696"
4/11/2023,493.83,499.99,493,498.65,"1,547,381"
4/10/2023,483.9,493.9,481.66,493.83,"1,653,593"
4/6/2023,482,487.85,477.5,485.98,"4,114,702"
4/5/2023,499,504.13,495.16,497.13,"1,941,503"
4/4/2023,496.5,502.58,495.5,497.73,"1,913,281"
4/3/2023,496.5,499.2,495,497.03,"1,804,653"
3/31/2023,495,498.36,493.94,496.87,"2,082,044"
3/30/2023,493,495.74,491,491.48,"1,545,533"
3/29/2023,489.2,491.3,485.9,490.87,"1,642,982"
3/28/2023,492.61,494.06,485.41,486.77,"1,407,839"
3/27/2023,497.28,499.86,492.51,493.22,"1,452,077"
3/24/2023,486.94,495.97,486.56,495.27,"1,636,784"
3/23/2023,490.69,493.25,484.29,487.76,"1,566,000"
3/22/2023,489.46,496.62,487.35,487.52,"1,299,654"
3/21/2023,493,493,485.99,490.85,"1,663,959"
3/20/2023,488,490.79,485.72,489.29,"1,624,017"
3/17/2023,489.07,489.9,481.51,487.05,"3,959,291"
3/16/2023,484.93,488.14,482.76,487.26,"1,980,652"
3/15/2023,481.51,487.02,478.54,485.66,"2,226,309"
3/14/2023,475.43,485.16,473,481.92,"2,422,900"
3/13/2023,466.8,476.69,466.8,472,"1,799,597"
3/10/2023,478.98,480.46,468.38,471.14,"2,123,002"
3/9/2023,487.48,490,478.62,479.52,"1,629,402"
3/8/2023,483,486.88,481.14,486.04,"1,548,504"
3/7/2023,486.1,495.21,485,485.15,"2,659,077"
3/6/2023,476.52,488.82,475.52,483.08,"3,104,742"
3/3/2023,474.83,476,465.33,475.26,"5,354,214"
3/2/2023,477.36,487.43,475.56,485.69,"2,407,400"
3/1/2023,481.1,482.58,475.02,478.67,"1,759,327"
2/28/2023,485.6,488.88,483.78,484.18,"1,918,221"
2/27/2023,492.55,493,485.68,487.03,"1,501,749"
2/24/2023,488.58,490.36,484.7,488.61,"1,587,611"
2/23/2023,498.8,498.86,487.86,493.14,"1,546,431"
2/22/2023,503.92,505.46,496.6,497.39,"1,331,969"
2/21/2023,500.82,503.99,496.55,501.74,"1,811,982"
2/17/2023,504.27,507.71,501.84,507.48,"1,340,437"
2/16/2023,503.61,510.73,503.6,504.1,"1,455,951"
2/15/2023,502.73,511.42,501.34,511.28,"1,423,417"
2/14/2023,505.01,507.85,498.63,503.22,"1,257,327"
2/13/2023,501.74,506.79,501.35,506.45,"1,452,837"
2/10/2023,498.51,500.55,495.38,499.99,"1,536,847"
2/9/2023,505.29,509.16,498.42,500.63,"1,517,341"
2/8/2023,511.29,512.18,501.56,503.81,"2,062,928"
2/7/2023,511.99,517.99,507.39,516.53,"1,927,275"
2/6/2023,514.44,517.22,512.27,515.59,"1,740,105"
2/3/2023,519.13,521.55,512.5,514.8,"1,844,148"
2/2/2023,524.29,530.05,520.64,523.43,"2,287,366"
2/1/2023,508.31,520.45,504.72,517.91,"2,080,208"
1/31/2023,503.23,511.41,502,511.14,"1,924,081"
1/30/2023,500.37,505.6,500.37,503.28,"1,855,941"
1/27/2023,499.76,509.1,497.86,503.29,"2,034,069"
1/26/2023,493.2,498.67,491.77,498.3,"1,576,405"
1/25/2023,489.36,491.94,484.5,490.88,"1,329,768"
1/24/2023,492.05,493.6,487.01,492.11,"1,510,226"
1/23/2023,479.95,495.24,477.6,492.61,"2,709,439"
1/20/2023,473.92,480.32,469.47,480.11,"2,588,637"
1/19/2023,476.24,477.56,468.07,469.49,"1,919,451"
1/18/2023,484.81,488.81,478.52,479.47,"1,925,470"
1/17/2023,485.13,490.48,484.37,486.77,"1,539,915"
1/13/2023,480.89,485.59,479,485.25,"1,405,912"
1/12/2023,484.99,485,478.75,482.43,"1,628,205"
1/11/2023,480.33,484.52,479.11,484.31,"1,576,394"
1/10/2023,477.14,482.09,475.48,481.4,"1,649,860"
1/9/2023,482.93,486.87,478.14,478.75,"2,384,764"
1/6/2023,463.08,484.42,462.22,482.87,"5,174,491"
1/5/2023,454.54,456.43,449.62,450.19,"2,169,298"
1/4/2023,457.18,459.51,452.59,456.56,"2,097,322"
1/3/2023,458,458.8,447.9,453.28,"1,978,075"
12/30/2022,454.65,456.7,450.75,456.5,"1,803,243"
12/29/2022,455.63,459,453.46,456.53,"1,464,967"
12/28/2022,457.54,460.46,452.8,452.99,"1,324,141"
12/27/2022,464.4,464.7,457.11,458.5,"1,230,839"
12/23/2022,457.52,463.18,454.8,462.65,"1,229,523"
12/22/2022,458.65,460.4,453.39,458.71,"1,907,717"
12/21/2022,459.38,463.69,456.2,462.06,"1,462,351"
12/20/2022,456.56,460.25,452.53,457.82,"1,993,675"
12/19/2022,460.92,463.41,455.36,458.63,"1,939,248"
12/16/2022,461.26,464.79,456.88,461.45,"4,909,204"
12/15/2022,475.34,476.7,463.16,463.91,"3,439,381"
12/14/2022,488.86,491.69,481.04,483.52,"2,145,018"
12/13/2022,497.04,497.97,481.55,488.2,"2,626,732"
